State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
LAGOS,OJO,24173250," KIDS FOUNDATION",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
OYO,IBADAN-NORTH,30060015,"3UNITED BROTHERS  PRIMARY SCHOOL  NALENDE",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
BAUCHI,KATAGUN,5120001,"ABATIYO PRIMARY SCHOOL",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
BORNO,MAIDUGURI,8210474,"ABBA GONI TSAMGAYA INTERGRATED  GAMBARU",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
BORNO,MAIDUGURI,8210498,"ABBA GONI UMAR TSANGAYA ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,KOSOFE,24131608,"ABD LATEEF MEMORIAL SCHOOLS",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KATSINA,DANDUME,20070147,"ABDU YARO SCHOOL OF ARABIC AND MODERN EDUCATION ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KWARA,"ILORIN WEST",23080627,"ABIKE KIDDIES ACADEMY ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,MAINLAND,24150424,"ABIM PRECIOUS SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
AKWA-IBOM,ESSIEN-UDIM,3050170,"ABRAHAM WEST INTERNATIONAL NURSERY/PRIMARY SCHOOL ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
JIGAWA,HADEJIA,17130002,"ABU YUSUFU BIN ABDULLAHI GABARI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
BORNO,MAIDUGURI,8210512,"ABUBAKAR  SAID TSANGAYA ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
BORNO,MAIDUGURI,8210596,"ABUBAKAR ABBA YUSUF TSANGAYA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,TSAFE,36130202,"ABUBAKAR SIDDIQ ACADEMY",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
OGUN,IJEBU-EAST,27070274,"ACHIEVERS NUR/PRI SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
AKWA-IBOM,EKET,3030003,"ACHIEVERS SEED INTERNATIONAL SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
AKWA-IBOM,ETINAN,3070001,"ACHIEVERS SEED NURSERY SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
RIVERS,TAI,32230155,"ADAMANTINE FOUNDATION ACADEMY",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
FCT,MUNICIPAL,37062988,"ADAMS SPRING SCHOOL KABUSA ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ANAMBRA,ANAOCHA,4040001,"ADAZI NNUKWU NURSERY SCHOOL",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
OSUN,ISOKAN,29220183,"ADE ROYAL NURSERY AND PRIMARY SCHO",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
OSUN,ODO-OTIN,29250008,"ADEGOKE NURSERY AND PRIMARY",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
