State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
AKWA-IBOM,EKET,3030283,"  ABRAHAM MEMORIAL INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,SURULERE,30330113," AJASE/JABATA COMMUNITY HIGH SCHOOL                                                                 ","Junior Secondary",PUBLIC,"JSS AND SSS"
OYO,SURULERE,30330114," AJIBARE COMMUNITY SECONDARY SCHOOL                                                                 ","Junior Secondary",PUBLIC,"JSS AND SSS"
ABIA,OBIOMA-NGWA,1090057," ALL SAINTS JUNIOR SECONDARY SCHOOL, EHERE","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,SURULERE,30330115," AROJE ABBA COMMUNITY HIGH SCHOOL                                                                   ","Junior Secondary",PUBLIC,"JSS AND SSS"
FCT,MUNICIPAL,37063168," BANKYS SECONDARY  SCHOOL ","Junior Secondary",PRIVATE,"JSS AND SSS"
CROSS-RIVER,BOKI,9070154," COMMERICIAL SECONDARY SCHOOL, KAKWAGOM","Junior Secondary",PUBLIC,"JSS AND SSS"
ABIA,UKWA-WEST,1140092," COMMUNITY  JUNIOR SECONDARY SCHOOL, OBEHIE ASA","Junior Secondary",PUBLIC,"JSS ONLY"
OYO,ORI-IRE,30280137," COMMUNITY GRAMMAR SCHOOL  ELEESUN-ADEOSUN                                                      ","Junior Secondary",PUBLIC,"JSS AND SSS"
EBONYI,EZZA-SOUTH,11060169," COMMUNITY SECONDARY SCHOOL, OHOFFIA NDIAGU IKWUATO IDEMBIA","Junior Secondary",PUBLIC,"JSS AND SSS"
KATSINA,MUSAWA,20290133," COMMUNITY STAFF SECONDARY SCHOOL","Junior Secondary",PUBLIC,"JSS AND SSS"
ENUGU,EZEAGU,14060199," ENUGU  STATE POLYTECHNIC SECONDARY SCHOOL IWOLLO","Junior Secondary",PUBLIC,"JSS AND SSS"
OYO,SURULERE,30330150," GLORIOUS COMMAND ACADEMY                                                         ","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,NASARAWA,19310693," GOVERNMENT JUNIOR SECONDARY SCHOOL IBRAHIM ZUBAIRU","Junior Secondary",PUBLIC,"JSS ONLY"
ADAMAWA,MICHIKA,2130135," GOVERNMENT JUNIOR SECONDARY SCHOOL, LDABA BAZZA, MICHIKA","Junior Secondary",PUBLIC,"JSS ONLY"
KATSINA,KATSINA,20210119," GOVERNMENT SCHOOL ( KATSINACOLLEGE )KATSINA ","Junior Secondary",PUBLIC,"JSS ONLY"
PLATEAU,JOS-SOUTH,31060563," JNL-SHILOH HIGH SCHOOL ","Junior Secondary",PRIVATE,"JSS AND SSS"
KWARA,ASA,23010255," JUNIOR SECONDARY SCHOOL, OWODEKEKE","Junior Secondary",PUBLIC,"JSS ONLY"
PLATEAU,BASSA,31020193," KYENJI ACADEMY  SECONDARY  SCHOOL ZALLAKI","Junior Secondary",PRIVATE,"JSS AND SSS"
OSUN,OSOGBO,29301267," LIFE FOUNDATION COMPREHENSIVE COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
ABIA,ISIKWUATO,1080210," LIGHT OF AFRICA","Junior Secondary",PRIVATE,"JSS ONLY"
BENUE,KWANDE,7110362," MANDATE SECONDARY SCHOOL, JATO-AKA ","Junior Secondary",PRIVATE,"JSS ONLY"
CROSS-RIVER,ODUKPANI,9150002," MIGRANT SCIENCE AND TECHNICAL COLLEGE,  AKIM AKIM","Junior Secondary",PUBLIC,"JSS ONLY"
NIGER,BORGU,26040049," NEPA STAFF SECONDARY SCHOOL, KAINJI","Junior Secondary",PRIVATE,"JSS AND SSS"
KATSINA,KATSINA,20210393," PEAK COMPREHENSIVE SCHOOLS","Junior Secondary",PRIVATE,"JSS ONLY"
KATSINA,KUSADA,20230042," PILOT JUNIOR SECONDARY SCHOOL JOFALAWA  SCHOOL  , JOFALAWA","Junior Secondary",PUBLIC,"JSS ONLY"
LAGOS,OJO,24172620," ROSE BETHEL COMPREHENSIVE HIGH SCHOOL ","Junior Secondary",PRIVATE,"JSS ONLY"
EKITI,ADO-EKITI,13010663," TIMADE DISCIPLES GROUP OF SCHOOL, ADO-EKITI","Junior Secondary",PRIVATE,"JSS AND SSS"
RIVERS,OBIO-AKPOR,32150913," ULOC INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
EBONYI,IZZI,11100419," URBAN COMMUNITY SECONDARY SCHOOL IBOKO","Junior Secondary",PRIVATE,"JSS ONLY"
KOGI,IGALAMELA-ODOLU,22080001,"(NA) UBE JUNIOR SECONDARY SCHOOL, AJAKA","Junior Secondary",PUBLIC,"JSS ONLY"
ONDO,ILE-OLUJI-OKEIGBO,28110086,"..EMMANUEL GRAMMAR SCHOOL OLORUNSOGO","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,REMO-NORTH,27170027,"..IPARA COMMUNITY HIGH SCHOOL (JUNIOR), IPARA","Junior Secondary",PUBLIC,"JSS AND SSS"
LAGOS,IKORODU,24122665,".LASPOTECH INTERNATIONAL SECONDARY SCHOOL, SAGAMU ROAD","Junior Secondary",PRIVATE,"JSS ONLY"
OSUN,IREWOLE,29210165,"0LADOYIN MODEL SECONDARY SCHOOL, YIDI AREA ","Junior Secondary",PRIVATE,"JSS AND SSS"
DELTA,PATANI,10160037,"0PROZA GRAMMAR SCH, PATANI","Junior Secondary",PUBLIC,"JSS AND SSS"
OSUN,IFE-EAST,29130001,"1O MODAKEK MUSLIM COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
BORNO,KONDUGA,8160087,"1OOO HOUSING ESTATE JUNIOR SECONDARY SCHOOL","Junior Secondary",PUBLIC,"JSS ONLY"
LAGOS,AJEROMI-IFELODUN,24020587,"1ST D EKO COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,IKORODU,24123339,"1ST EXCEL TUTORIAL COLLEGE OGOLONTO. MAJIDUN","Junior Secondary",PRIVATE,"JSS AND SSS"
BENUE,OTUKPO,7190001,"21ST CENTURY COLLEGE, OJAKPAMA","Junior Secondary",PRIVATE,"JSS AND SSS"
NIGER,BIDA,26030286,"2DS PERFECT HEIGHT SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
KADUNA,KADUNA-SOUTH,18100001,"2ND ECWA SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
BORNO,JERE,8130001,"2O2 HOUSING ESTATE JUNIOR SECONDARY SCHOOL","Junior Secondary",PUBLIC,"JSS ONLY"
RIVERS,PORT-HARCOURT,32221323,"3 STARS EDUCATIONAL CENTER NO 4 NDOKI STREET BOROKIRI PORT HARCOURT","Junior Secondary",PRIVATE,"JSS ONLY"
NIGER,SULEJA,26230718,"3-TIMES INTERNATIONAL SCHOOL ","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,IKORODU,24122993,"3F COMPREHENSIVE COLLEGE ","Junior Secondary",PRIVATE,"JSS AND SSS"
OSUN,EDE-SOUTH,29080227,"3K T ISLAMIC COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
PLATEAU,JOS-NORTH,31050707,"5FAITH DIVINE  COLLEGE ","Junior Secondary",PRIVATE,"JSS AND SSS"
BORNO,MAIDUGURI,8210002,"777 MODEL JUNIOR SECONDARY SCHOOL, MAIDUGURI","Junior Secondary",PUBLIC,"JSS ONLY"
NIGER,KATCHA,26100062,"8GOVERNMENT JUNIOR SECONDARY SCHOOL, CHECHE","Junior Secondary",PUBLIC,"JSS AND SSS"
KOGI,LOKOJA,22120163,"9JOJEP GOLD GETTER ACADEMY","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,AGEGE,24010002,"A &amp; T COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
ONDO,ODIGBO,28130898,"A - ANGELS KIDDIES UNIVERSITY,  ORE ALABA.","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,AMUWO-ODOFIN,24040009,"A A INTERNATIONAL COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,RANO,19320001,"A A RANO GOVERNMENT GIRLS ARABIC SECONDARY SCHOOL LAUSU","Junior Secondary",PUBLIC,"JSS AND SSS"
NIGER,KONTAGORA,26110280,"A B A ACADEMIY","Junior Secondary",PRIVATE,"JSS ONLY"
KANO,DALA,19070557,"A M INTERNATIONAL SCHOOL KANO","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,IBADAN-NORTH-WEST,30080055,"A MAKERS COLLEGE                                                                                    ","Junior Secondary",PRIVATE,"JSS ONLY"
OYO,IDO,30140121,"A MAKERS HIGH SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
KWARA,"ILORIN WEST",23080760,"A ONE MODEL COLLEGE,GAA SAKA","Junior Secondary",PRIVATE,"JSS ONLY"
OGUN,OBAFEMI-OWODE,27132168,"A PRIME COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
BAUCHI,BAUCHI,5020752,"A U MISAU EXCELLENCY ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
