State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
Ebonyi,Ivo,11090126," Akaeze Comprehensive Secondary school, Ugwuagba","Senior Secondary",PUBLIC,"SSS ONLY"
"ENUGU ",NSUKKA,14130553," COMMUNITY SECONDARY SCHOOL, OKUTU","Senior Secondary",PUBLIC,"JSS AND SSS"
EBONYI,EZZA-NORTH,11050228," Community Secondary?School,?Ekka","Senior Secondary",PUBLIC,"SSS ONLY"
Edo,Oredo,12120455," Phelim High School","Senior Secondary",PRIVATE,PRIVATE
EKITI,GBONYIN,EK13130124," UJILOGUN HIGH SCHOOL,ILUPEJU IJAN-","Senior Secondary",PUBLIC,"JSS AND SSS"
EBONYI,AFIKPO-NORTH,11020248," UNITY SECONDARY SCHOOL AMIKPO OZIZZA","Senior Secondary",PUBLIC,"SSS ONLY"
OSUN,IFE-EAST,29130001S,"1O MODAKEK MUSLIM COLLEGE","Senior Secondary",PUBLIC,"JSS AND SSS"
KOGI,"YAGBA EAST",22200001,"1ST ECWA NUR/PRY SCHOOL, PONYAN","Senior Secondary",PRIVATE,PRIVATE
PLATEAU,JOS-EAST,31040174,"A LL  SAINTS ANGLICAN  HIGH  SCHOOL NITSENG","Senior Secondary",PRIVATE,PRIVATE
NIGER,"LAVUN                         ",2713033162,"A.A.KURE COLLEGE OF ARTS & ISLAMIC STUDIES, NDALOKE","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,EJIGBO,29100003S,"A.D.S JUNIOR HIGH SCHOOL II, EJIGBO","Senior Secondary",PUBLIC,"JSS AND SSS"
JIGAWA,RINGIM,1823002141,"A.M. G.D.S.S. RINGIM","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,OLORUNDA,29270001S,"A.U. MIDDLE SCHOOL GBONMI OSOGBO OSUN STATE","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,ODO-OTIN,29250001S,"A.U.D COMPREHENSIVE SCHOOL, INISA","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,"IKERE                         ",EK13130173,"A.U.D. COMP. HIGH SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,ADO-ODO/OTA,27030813,"A.U.F COLLEGE","Senior Secondary",PRIVATE,PRIVATE
KANO,RANO,20RANSS011,"AA RANO GGASS ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","IBADAN NORTH                  ",1310630001,"ABADINA COLLEGE U.I IBADAN                                                                          ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","IBADAN NORTH                  ",1310630002,"ABADINA GRAMMAR SCHOOL ABADINA                                                                      ","Senior Secondary",PUBLIC,"SSS ONLY"
EBONYI,EBONYI,11040271,"ABAKALIKI HIGH SCHOOL","Senior Secondary",PUBLIC,"SSS ONLY"
EBONYI,ONICHA,11130194,"ABAOMEGE COMM. SECONDARY SCHOOL","Senior Secondary",PUBLIC,"SSS ONLY"
EBONYI,OHAUKWU,11120493,"ABARIGWE COMM. SECONDARY SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,ADO-ODO/OTA,27030815,"ABBOT DAYSPRING CHILDREN SCHOOL","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27030816,"ABBOT DAYSPRING SCHOOL","Senior Secondary",PRIVATE,PRIVATE
KOGI,OKENE,22170461,"ABDUL AZIZ ATTA MEMORIAL COLLEGE, OKENE","Senior Secondary",PUBLIC,"JSS AND SSS"
BAUCHI,KATAGUM,1051240097,"ABDULKADIR NALIZAI SCHOOL FOR SCIENCE AZARE","Senior Secondary",PRIVATE,PRIVATE
KANO,"KANO MUNICIPAL",20KMCPV006,"ABDULLAHI MAI MASALLACHI INSTITUTE FOR QUR'ANIC STUDIES ","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,TORO,1051840001,"ABDULLAHI MEMORIAL ACADEMY GUMAU","Senior Secondary",PRIVATE,PRIVATE
KANO,KARAYE,20KRYPV002,"ABDULWAHAB INT. SCH.","Senior Secondary",PRIVATE,PRIVATE
OGUN,"ABEOKUTA SOUTH",27020584,"ABEOKUTA GIRLS' GRAMMAR SCHOOL (PRIVATE), ONIKOLOBO, ABEOKUTA. OGUN STATE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"ABEOKUTA SOUTH",27020404,"ABEOKUTA GRAMMAR SCHOOL,IDI-ABA, ABEOKUTA, OGUN STATE, NIGERIA ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"OBAFEMI OWODE",271302777,"ABIFLORENCE MEMORIAL COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OGUN WATERSIDE",27160063s,"ABIGI  COMMUNITY  GRAMMAR  SCHOOL, WATERSIDE OGUN STATE, NIGERIA(COMBINED)","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"IJEBU NORTH",27080400,"ABOBI COMPREHENSIVE HIGH SCHOOL SENIOR, AGO IWOYE","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","ONA-ARA                       ",1312630008,"ABONDE COMM. GRAMMAR SCHOOL IBADAN                                                                  ","Senior Secondary",PUBLIC,"JSS AND SSS"
BAUCHI,TORO,1051840002,"ABU NUSEB SPECIAL SCHOOL GUMAU","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,KATAGUM,1051240047,"ABU-KILISHI AL-KUSURI COLLEGE OF ARABIC","Senior Secondary",PRIVATE,PRIVATE
EDO,ETSAKO-WEST,12090006,"ABUBAKAR ISLAMIC AND ARABIC SCHOOL","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,BAUCHI,1050240223,"ABUHURAIRA COLLEGE","Senior Secondary",PRIVATE,PRIVATE
Nasarawa,KARU,25040005,"ABUJA INTERNATIONAL ACADEMY, MARARABA GURKU","Senior Secondary",PRIVATE,PRIVATE
OGUN,IFO,27050452,"ABUNDANT GRACE PRIVATE SCHOOL, AKUTE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",271302783,"ABUNDANT RAIN ACADEMY ","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27030826,"ABUNDANT WISDOM COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"IJEBU NORTH",27080401,"ABUSI ODUMARE ACADEMY SENIOR, IJEBU IGBO","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,SAGAMU,27181006,"ACAD EPIPHANY ACADEMY, OGIJO","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27132034,"ACE KIDDIES (TOP GRADE) N & P SCHOOL","Senior Secondary",PRIVATE,PRIVATE
KOGI,ADAVI,22011988,"ACHIEVERS INTERNATIONAL COLLEGE, NAGAZI - UVETE","Senior Secondary",PRIVATE,PRIVATE
EDO,OREDO,12120006,"ACTIVE BRAINS UNIQUE TOUCH ACADEMY","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27132537,"ACUMEN COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27132036,"ACUMEN NURSERY & PRIMARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,MISAU,1051430012,"AD RUFAI COLLEGE FOR LEGAL AND ISLAMIC STUDIES MISAU","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"IJEBU ODE",27090483,"AD-DAWAH COMPREHENSIVE COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OSUN,BORIPE,29060159S,"ADA SECONDARY COMMERCIAL GRAMMAR SCHOOL, ADA.","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,OBOKUN,29240001s,"ADA-OWODE COMMUNITY BAPTIST, ADA-OWODE","Senior Secondary",PUBLIC,"JSS AND SSS"
"ENUGU ",UZO-UWANI,14170161,"ADADA SECONDARY SCHOOL, NKPOLOGU","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","ORIIRE                        ",1312830012,"ADAFILA CIOMMUNITY GREAMMAR SCHOOL                                                                  ","Senior Secondary",PUBLIC,"JSS AND SSS"
PLATEAU,JOS-EAST,31040175,"ADAKUNUM  ACADEMY  NURSERY AND PRIMARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
JIGAWA,TAURA,1826074251,"ADAMS SCIENCE ANDTAHFIZUL QUR'AN ACADEMY","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","IREPO                         ",1311530003,"ADASOBO GRAMMAR SCHOOL                                                                              ","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,OLA-OLUWA,29260077S,"ADATAN HIGH SCHOOL, ASA","Senior Secondary",PUBLIC,"JSS AND SSS"
KOGI,ADAVI,22011989,"ADAVI LOCAL GOVERNMENT  SCIENCE SECONDARY SCHOOL, NAGAZI - EBA","Senior Secondary",PRIVATE,PRIVATE
OSUN,ISOKAN,29220158s,"ADC GRAMMAR SCHOOL, APOMU","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,IFO,27051263,"ADE-BENSON COMPREHENSIVE COLLEGE, IFO","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27030516,"ADE-GALAXY ACADEMY","Senior Secondary",PRIVATE,PRIVATE
FCT,BWARI,37020855,"ADE-OLA INTERNATIONAL COLLEGE KUBWA","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27030835,"ADEDOKUN INTERNATIONAL SECONDARY SCHOOL, OTA","Senior Secondary",PRIVATE,PRIVATE
OGUN,IFO,27050456,"ADEDOKUN NURSERY AND PRIMARY SCHOOL, IFO","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","IBARAPA NORTH                 ",1311330006,"ADEGUN ASAKE GRAMMAR SCHOOL, IGANGAN                                                                ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","IBADAN SOUTH EAST             ",1310930001,"ADEKILE GOODWILL GRAMMAR SCHOOL, APERIN                                                             ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,ADO-ODO/OTA,27030838,"ADELANS SECONDARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
OGUN,"ABEOKUTA SOUTH",27020585,"ADELINE OGUNLADE MEMORIAL HOME SECONDARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","OGBOMOSO NORTH                ",1312130013,"ADENIRAN MEMORIAL GRAMMAR SCHOOL                                                                    ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"IJEBU ODE",27090484,"ADEOLA ODUTOLA COLLEGE PRIVATE","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","ORIIRE                        ",1312830016,"ADEOSUN - ELEFUN COMMUNITY GRAMMAR SCHOOL                                                           ","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,ADO-ODO/OTA,27030844,"ADEOYE INTERNATIONAL COLLEGE ","Senior Secondary",PRIVATE,PRIVATE
OSUN,IFE-SOUTH,29160014S,"ADEREMI MEMORIAL COLLAGE","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,OLORUNDA,29270005S,"ADEROUNMU GRAMMER SCHOOL, OBA-ILE","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"OBAFEMI OWODE",27130164s,"ADESANOLU COMMUNITY HIGH SCHOOL (COMBINED), MOWE","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,ADO-ODO/OTA,27030847,"ADESEYE ROYAL COLLEGE","Senior Secondary",PRIVATE,PRIVATE
EKITI,ISE-ORUN,Ek13130216,"ADETUNJI AJAYI HIGH SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
